Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
B	R	2720	1.40	2320	1.36	12694	62.6%	2209	71.3%	3263	73.0%	5472	72.3%	7223	55.3%	17.0pp
W	R	2916	1.28	2636	1.26	15101	62.9%	2615	73.1%	3778	69.6%	6393	71.0%	8709	56.9%	14.1pp
R	M	1427	1.40	1093	1.39	5459	60.4%	940	66.9%	1233	66.7%	2173	66.8%	3286	56.1%	10.7pp
W	R	3189	1.42	2586	1.40	14085	61.5%	2602	70.4%	3360	64.0%	5962	66.8%	8127	57.7%	9.1pp
BR	M	1526	1.64	1083	1.57	4913	59.4%	784	71.0%	1286	64.1%	2070	66.7%	2843	54.0%	12.7pp
RG	M	1239	1.29	1008	1.26	5125	59.5%	868	65.1%	1298	67.4%	2166	66.5%	2959	54.3%	12.1pp
G	M	1461	1.30	1173	1.28	6081	59.5%	1077	65.8%	1600	64.7%	2677	65.1%	3405	55.1%	10.0pp
UB	M	1228	1.24	1006	1.23	5076	58.0%	869	63.6%	1388	66.1%	2257	65.1%	2819	52.3%	12.9pp
G	M	2331	2.40	1077	2.35	4902	59.0%	827	58.4%	1350	68.8%	2177	64.9%	2726	54.3%	10.6pp
R	M	1526	1.38	1120	1.37	5607	60.1%	950	63.6%	1307	65.4%	2257	64.6%	3351	57.1%	7.6pp
W	M	1263	1.26	1105	1.24	5865	60.7%	1042	66.2%	1468	63.4%	2510	64.5%	3355	57.8%	6.8pp
URG	R	4329	2.21	1730	2.20	6872	55.2%	1126	61.8%	1819	65.5%	2945	64.1%	3929	48.6%	15.5pp
W	U	13563	2.13	7887	2.28	41854	60.7%	7388	63.1%	10362	64.6%	17750	64.0%	24111	58.4%	5.6pp
W	R	3254	1.66	2284	1.64	11677	60.7%	1999	61.4%	2888	65.7%	4887	63.9%	6791	58.4%	5.5pp
W	R	4137	2.14	2288	2.13	11101	60.5%	1794	59.4%	2749	66.6%	4543	63.7%	6561	58.3%	5.4pp
R	R	2759	1.40	2048	1.39	10219	59.1%	1715	62.3%	2409	64.7%	4124	63.7%	6095	56.0%	7.7pp
B	R	3371	1.55	2443	1.53	12322	58.6%	2166	63.5%	3052	62.8%	5218	63.1%	7105	55.3%	7.8pp
W	U	13677	2.45	7190	2.65	37039	60.3%	6249	61.6%	9079	64.0%	15328	63.0%	21715	58.4%	4.6pp
U	R	4563	2.44	2011	2.40	8182	56.7%	1517	62.6%	2108	63.0%	3625	62.8%	4559	51.8%	11.1pp
WR	R	4179	2.26	2197	2.18	10105	59.8%	1712	64.3%	2217	61.6%	3929	62.8%	6177	57.9%	4.8pp
W	C	55164	3.25	21763	3.72	112523	60.9%	18858	62.1%	27138	62.9%	45996	62.5%	66541	59.8%	2.7pp
R	R	5878	2.94	1831	3.18	7362	58.9%	1369	68.7%	1574	57.1%	2943	62.5%	4419	56.5%	6.0pp
W	M	1236	1.23	1042	1.21	5331	58.1%	884	60.1%	1460	63.3%	2344	62.1%	2988	55.0%	7.1pp
B	U	15333	2.40	8084	2.59	39804	59.2%	6799	61.9%	9431	62.1%	16230	62.1%	23576	57.3%	4.8pp
BR	R	3293	1.72	2224	1.65	10687	58.3%	1792	60.9%	2624	62.3%	4416	61.8%	6272	55.9%	5.9pp
UG	R	3422	1.72	2071	1.66	9732	57.4%	1724	63.3%	2621	60.7%	4345	61.7%	5387	53.9%	7.8pp
G	C	64865	3.78	19907	4.50	95508	58.9%	17453	63.3%	24237	60.6%	41690	61.7%	53831	56.7%	5.0pp
U	M	2164	2.21	970	2.18	3981	55.8%	659	58.6%	1121	63.5%	1780	61.7%	2201	51.1%	10.6pp
W	C	48478	2.83	21656	3.26	113536	60.1%	20473	61.6%	27418	61.6%	47891	61.6%	65660	59.0%	2.6pp
W	C	65391	3.84	23779	4.42	118809	60.5%	19782	61.0%	28710	61.9%	48492	61.6%	70326	59.8%	1.8pp
W	R	3463	1.75	2285	1.71	11098	58.9%	1767	59.4%	2751	62.7%	4518	61.4%	6580	57.1%	4.3pp
B	U	14903	2.63	7243	2.91	36431	58.9%	6422	60.5%	9166	61.7%	15588	61.2%	20850	57.2%	4.0pp
G	U	19795	2.95	6290	3.46	30486	58.7%	5537	61.6%	7689	60.7%	13226	61.1%	17264	56.9%	4.2pp
G	C	68411	3.97	15824	5.13	73788	58.1%	12087	58.5%	19828	62.5%	31915	61.0%	41879	56.0%	5.1pp
U	R	4377	2.17	1765	2.16	7496	56.2%	1264	56.5%	2130	63.6%	3394	61.0%	4105	52.2%	8.7pp
B	M	1243	1.32	989	1.29	4787	57.4%	773	58.5%	1255	62.2%	2028	60.8%	2759	55.0%	5.8pp
W	C	87104	5.27	21483	6.55	93762	60.4%	16677	61.6%	21780	60.1%	38457	60.7%	55323	60.2%	0.5pp
UB	R	4571	2.38	2052	2.37	8922	57.4%	1549	62.1%	2430	59.8%	3979	60.7%	4943	54.7%	6.0pp
G	R	3503	1.60	2205	1.57	10569	57.5%	1912	62.0%	2790	59.6%	4702	60.6%	5870	55.1%	5.5pp
B	U	12379	2.20	5943	2.45	30139	59.2%	5196	58.8%	7581	61.8%	12777	60.6%	17362	58.1%	2.4pp
G	U	19807	3.33	5397	4.07	24240	57.7%	4038	60.4%	6317	60.7%	10355	60.6%	13886	55.5%	5.1pp
B	C	65477	3.72	21870	4.55	111150	59.6%	20085	62.6%	27164	59.0%	47249	60.5%	63913	58.8%	1.7pp
B	R	3102	1.61	2135	1.60	10767	58.2%	1841	61.2%	2701	59.8%	4542	60.4%	6227	56.6%	3.8pp
B	R	3868	2.03	2023	2.00	9797	58.6%	1742	60.9%	2431	59.9%	4173	60.3%	5626	57.3%	3.1pp
R	U	13356	2.36	5705	2.69	28527	58.6%	4858	59.8%	6348	60.6%	11206	60.2%	17325	57.6%	2.7pp
G	U	16711	2.85	5065	3.42	24509	57.8%	4484	61.9%	6134	58.8%	10618	60.1%	13893	56.0%	4.1pp
U	U	20004	3.52	4176	4.55	17166	55.9%	2963	56.9%	4851	62.0%	7814	60.1%	9354	52.4%	7.7pp
R	U	18945	3.21	6775	3.74	33278	59.1%	6034	60.3%	7214	59.8%	13248	60.0%	20035	58.5%	1.5pp
B	U	18011	3.06	6207	3.65	29460	57.8%	4783	56.6%	7546	62.2%	12329	60.0%	17135	56.1%	3.9pp
B	C	78740	4.46	19198	5.89	91679	58.8%	16506	62.6%	21915	58.0%	38421	60.0%	53268	57.9%	2.1pp
W	U	21237	3.56	6052	4.46	29917	59.3%	5467	61.9%	6937	58.3%	12404	59.9%	17519	58.9%	1.0pp
W	C	81758	4.68	19824	6.13	95394	59.8%	17047	62.5%	22153	57.5%	39200	59.7%	56204	60.0%	-0.3pp
B	C	47851	2.83	18838	3.33	93897	58.1%	15806	57.7%	23745	60.7%	39551	59.5%	54351	57.1%	2.3pp
R	R	3624	1.56	2301	1.55	11393	58.1%	2075	61.1%	2514	58.1%	4589	59.5%	6805	57.2%	2.3pp
W	U	22097	3.79	4777	5.01	21121	58.3%	3493	58.0%	5168	60.1%	8661	59.3%	12462	57.6%	1.6pp
B	R	3933	1.97	2093	2.01	10180	58.2%	1795	57.3%	2585	60.6%	4380	59.2%	5802	57.4%	1.9pp
R	R	3573	1.77	1979	1.76	9282	57.7%	1585	61.6%	2127	57.5%	3712	59.2%	5570	56.6%	2.6pp
G	C	63862	3.68	17744	4.66	84775	57.6%	14264	58.1%	22161	60.0%	36425	59.2%	48356	56.3%	2.9pp
W	U	26180	4.30	7047	5.39	31672	59.6%	5270	58.3%	7446	59.9%	12716	59.2%	18957	60.0%	-0.8pp
G	C	89890	5.34	17837	7.24	70143	57.8%	11423	56.5%	18522	60.7%	29945	59.1%	40207	56.8%	2.3pp
G	U	19211	3.32	5534	4.01	25684	57.5%	4554	57.8%	6730	59.9%	11284	59.1%	14400	56.2%	2.9pp
WR	U	23309	4.19	5748	5.15	21852	58.9%	3881	60.1%	4579	58.2%	8460	59.1%	13396	58.8%	0.3pp
W	C	77334	4.32	19521	5.70	96229	59.5%	17352	60.6%	22667	57.8%	40019	59.0%	56229	59.9%	-0.8pp
B	U	22319	3.84	5454	4.92	24442	58.4%	4206	59.7%	5984	58.5%	10190	59.0%	14256	58.0%	1.0pp
B	C	83530	4.79	21364	6.36	100371	58.8%	17575	58.2%	25045	59.6%	42620	59.0%	57763	58.7%	0.4pp
W	U	29828	4.75	6588	6.57	32595	59.4%	5841	60.8%	7490	57.6%	13331	59.0%	19267	59.6%	-0.6pp
BG	R	6376	3.20	2277	3.38	8382	56.8%	1384	57.3%	2307	59.9%	3691	59.0%	4696	55.1%	3.8pp
W	R	6874	3.38	2090	3.83	7137	57.8%	1206	55.8%	1880	61.0%	3086	58.9%	4053	56.9%	2.0pp
G	M	1337	1.38	919	1.36	4394	55.7%	696	56.5%	1240	60.2%	1936	58.9%	2459	53.1%	5.8pp
W	C	82177	4.71	21262	6.12	100650	59.5%	18085	61.2%	23005	57.0%	41090	58.9%	59573	60.0%	-1.1pp
WG	R	7620	3.65	1557	4.67	4261	58.2%	723	59.1%	1072	58.6%	1795	58.8%	2466	57.9%	0.9pp
B	C	86040	5.04	21762	6.58	97541	58.7%	17285	60.2%	23453	57.7%	40738	58.8%	56813	58.7%	0.1pp
W	U	19289	3.34	5326	4.17	24064	58.4%	4006	57.1%	6112	59.9%	10118	58.8%	13950	58.1%	0.6pp
G	U	21073	3.53	5240	4.48	24053	57.3%	4288	57.9%	6259	59.1%	10547	58.6%	13512	56.2%	2.4pp
WU	U	25050	4.52	5358	5.79	15955	56.1%	2704	56.0%	4351	60.1%	7055	58.6%	8905	54.2%	4.3pp
B	U	18673	2.85	6589	3.33	31842	57.5%	5462	56.7%	7932	59.8%	13394	58.5%	18451	56.8%	1.7pp
G	U	29931	4.83	5584	6.87	25510	57.4%	4588	59.4%	6155	57.9%	10743	58.5%	14772	56.6%	1.9pp
W	C	89482	5.17	16635	7.29	68595	58.7%	11610	57.4%	16193	59.2%	27803	58.5%	40796	58.9%	-0.4pp
A       C	76081	4.06	20836	5.38	99901	57.8%	18536	58.0%	24291	58.8%	42827	58.5%	57088	57.2%	1.3pp
A       U	20500	3.35	6107	4.15	29098	57.1%	4852	54.7%	7587	60.8%	12439	58.4%	16666	56.2%	2.2pp
U	U	19325	3.40	4154	4.27	17300	54.8%	2761	54.3%	5016	60.6%	7777	58.4%	9526	51.8%	6.6pp
G	C	76928	4.38	15641	5.95	70113	57.2%	11437	55.1%	18000	60.5%	29437	58.4%	40691	56.3%	2.1pp
G	C	101208	6.46	13336	9.41	33090	57.3%	5285	56.3%	8349	59.6%	13634	58.3%	19457	56.7%	1.6pp
B	C	58859	3.43	18817	4.27	93359	57.8%	16396	57.4%	23458	58.7%	39854	58.2%	53512	57.5%	0.7pp
WG	U	25385	4.68	4712	6.13	16298	58.1%	2826	60.5%	4125	56.5%	6951	58.1%	9348	58.1%	0.0pp
U	R	4733	2.37	1717	2.50	6993	55.3%	1277	54.7%	3063	59.5%	4340	58.1%	3702	53.5%	4.6pp
BR	U	23308	4.20	5520	5.17	20459	57.7%	3480	59.6%	4695	56.9%	8175	58.1%	12286	57.5%	0.6pp
R	C	47413	2.77	16899	3.34	83556	57.3%	14473	57.8%	19072	58.3%	33545	58.1%	50013	56.9%	1.2pp
R	U	18250	2.77	6100	3.23	29890	57.8%	5233	58.3%	6582	57.8%	11815	58.0%	18078	57.7%	0.3pp
WB	U	19366	3.40	6257	4.06	26665	57.8%	4478	56.1%	6811	59.1%	11289	57.9%	15381	57.6%	0.3pp
B	C	82731	4.74	18011	6.44	81010	58.4%	13734	57.1%	19985	58.4%	33719	57.9%	47301	58.7%	-0.8pp
R	U	17831	3.08	4521	3.84	21197	56.4%	3353	55.6%	4960	59.3%	8313	57.8%	12886	55.4%	2.4pp
W	U	15713	2.47	6071	2.84	30251	57.9%	5229	57.8%	7296	57.8%	12525	57.8%	17736	57.9%	-0.1pp
U	C	104695	7.30	13798	10.29	24557	55.6%	3895	54.5%	7015	59.6%	10910	57.8%	13657	53.9%	3.9pp
B	U	28756	4.54	6285	6.33	30387	58.3%	5393	59.5%	7305	56.5%	12698	57.8%	17690	58.7%	-1.0pp
W	U	19470	3.30	5455	4.09	25008	58.1%	4226	58.9%	5777	56.8%	10003	57.7%	15006	58.3%	-0.7pp
R	C	78795	4.52	19413	5.77	89580	58.1%	15991	59.2%	19392	56.3%	35383	57.6%	54201	58.5%	-0.9pp
G	U	27931	4.90	5806	6.51	21098	57.4%	3716	57.2%	5320	57.7%	9036	57.4%	12064	57.4%	0.1pp
RG	R	6102	3.08	1413	3.51	3942	55.0%	657	55.6%	1002	58.7%	1659	57.4%	2284	53.2%	4.3pp
U	C	79111	4.64	11440	6.58	44750	54.8%	7826	55.6%	12310	58.5%	20136	57.4%	24623	52.7%	4.7pp
W	C	96171	5.78	16576	8.21	59641	59.0%	9634	56.4%	13877	58.0%	23511	57.3%	36139	60.0%	-2.7pp
WB	M	2259	2.37	828	2.50	2474	56.5%	436	56.4%	635	58.0%	1071	57.3%	1404	55.8%	1.6pp
W	U	23224	3.82	5409	5.10	24311	57.3%	4322	57.6%	5789	57.1%	10111	57.3%	14206	57.2%	0.1pp
R	C	81913	4.65	18016	6.22	83353	58.1%	15020	59.2%	17693	55.6%	32713	57.3%	50647	58.5%	-1.3pp
W	U	28976	5.07	5323	7.08	19273	58.2%	3337	60.2%	4398	54.9%	7735	57.2%	11538	58.8%	-1.7pp
R	C	91004	5.37	16323	7.43	68423	58.1%	11873	57.8%	14942	56.6%	26815	57.2%	41614	58.8%	-1.6pp
R	R	3462	1.75	1904	1.76	9112	57.1%	1552	55.9%	2062	58.1%	3614	57.1%	5499	57.0%	0.1pp
B	C	106954	7.34	15866	10.36	27855	57.6%	4593	57.0%	6663	57.2%	11256	57.1%	16601	58.0%	-1.0pp
G	C	105125	6.96	13193	10.08	25765	57.0%	4201	56.3%	6582	57.5%	10783	57.0%	14983	57.0%	0.0pp
B	C	92583	5.46	15628	7.85	59613	57.3%	10251	56.2%	14444	57.7%	24695	57.0%	34927	57.6%	-0.5pp
R	M	1350	1.31	873	1.30	3972	55.8%	675	57.6%	967	56.6%	1642	57.0%	2331	54.9%	2.1pp
G	C	94497	5.69	14380	8.14	49465	56.9%	8847	57.8%	12066	56.4%	20913	57.0%	28559	56.8%	0.2pp
B	U	25307	4.28	4452	6.17	18224	56.6%	3045	56.8%	4494	57.1%	7539	57.0%	10688	56.3%	0.7pp
R	C	106549	7.24	13802	10.47	18828	56.9%	3012	55.8%	4436	57.8%	7448	57.0%	11385	56.9%	0.1pp
G	U	17258	2.62	4799	3.09	22676	55.5%	3760	54.3%	5941	58.7%	9701	57.0%	12981	54.4%	2.5pp
W	C	104857	6.86	16900	9.67	38336	59.0%	6321	56.3%	8740	57.5%	15061	57.0%	23281	60.3%	-3.3pp
R	U	18655	3.11	4133	3.98	18953	56.2%	3195	58.8%	4326	55.5%	7521	56.9%	11435	55.8%	1.1pp
W	R	7568	3.40	1500	4.54	5462	56.9%	985	58.2%	1289	55.9%	2274	56.9%	3191	57.0%	-0.1pp
U	M	2045	1.88	910	1.89	3520	54.1%	570	52.3%	979	59.6%	1549	56.9%	1973	52.0%	4.9pp
U	C	103464	7.21	14083	10.00	31866	55.0%	5630	57.2%	8623	56.6%	14253	56.8%	17620	53.6%	3.2pp
G	C	102233	6.56	12588	9.64	22820	56.0%	3710	53.6%	5945	58.7%	9655	56.7%	13168	55.5%	1.2pp
A       U	20588	3.33	5049	4.31	23304	56.1%	4416	57.1%	5707	56.3%	10123	56.6%	13183	55.6%	1.0pp
G	C	105029	7.13	13181	10.32	24879	56.6%	4426	57.3%	6059	56.2%	10485	56.6%	14404	56.7%	-0.0pp
R	U	28850	5.00	5016	6.84	16352	58.0%	2631	56.3%	3638	56.8%	6269	56.6%	10088	58.9%	-2.3pp
A       R	2549	1.32	1874	1.28	9891	56.2%	1851	54.7%	2442	57.9%	4293	56.5%	5598	55.9%	0.6pp
WBR	R	7510	3.68	2040	4.32	5613	56.0%	940	56.3%	1437	56.6%	2377	56.5%	3236	55.7%	0.8pp
G	C	78295	4.56	13266	6.34	55043	56.1%	9798	58.2%	13568	55.2%	23366	56.5%	31688	55.7%	0.7pp
R	C	89568	5.51	15218	7.55	54647	57.5%	9790	61.4%	11665	52.1%	21455	56.4%	33195	58.2%	-1.9pp
BG	U	28998	5.23	5122	7.28	13521	55.7%	2229	55.5%	3467	56.8%	5696	56.3%	7827	55.3%	1.0pp
UB	U	28732	5.31	4313	7.51	9738	53.8%	1643	55.6%	2668	56.7%	4311	56.3%	5430	51.8%	4.5pp
B	R	9031	4.21	1521	5.94	3290	55.5%	516	49.8%	827	60.2%	1343	56.2%	1949	55.0%	1.2pp
